breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-yy-Ss', 'RR-yy-Ss']","['RR-yy-SS', 'RR-yy-Ss', 'RR-yy-ss']","['Red (seed)', 'Red (seed)']","['Red', 'Red (seed)', 'Black']","['33%', '33%', '33%']"
"['RR-yy-Ss', 'rr-YY-ss']","['Rr-Yy-Ss', 'Rr-Yy-ss']","['Red (seed)', 'Yellow (seed)']","['Yellow', 'Orange']","['50%', '50%']"
"['RR-yy-Ss', 'rr-yy-Ss']","['Rr-yy-SS', 'Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'White (seed)']","['White', 'Pink', 'Red']","['33%', '33%', '33%']"
"['rr-YY-ss', 'rr-YY-ss']",['rr-YY-ss'],"['Yellow (seed)', 'Yellow (seed)']",['Yellow (seed)'],['100%']
"['rr-YY-ss', 'rr-yy-Ss']","['rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'White (seed)']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-yy-Ss', 'rr-yy-Ss']","['rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'White']","['33%', '33%', '33%']"
"['RR-yy-SS', 'RR-yy-SS']",['RR-yy-SS'],"['Red', 'Red']",['Red'],['100%']
"['RR-yy-SS', 'RR-yy-Ss']","['RR-yy-SS', 'RR-yy-Ss']","['Red', 'Red (seed)']","['Red', 'Red (seed)']","['50%', '50%']"
"['RR-yy-SS', 'RR-yy-ss']",['RR-yy-Ss'],"['Red', 'Black']",['Red (seed)'],['100%']
"['RR-yy-SS', 'Rr-Yy-Ss']","['RR-Yy-SS', 'RR-Yy-Ss', 'RR-yy-SS', 'RR-yy-Ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-yy-SS', 'Rr-yy-Ss']","['Red', 'Yellow']","['Red', 'Red', 'Red', 'Red (seed)', 'Yellow', 'Yellow', 'White', 'Pink']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-SS', 'Rr-Yy-ss']","['RR-Yy-Ss', 'RR-yy-Ss', 'Rr-Yy-Ss', 'Rr-yy-Ss']","['Red', 'Orange']","['Red', 'Red (seed)', 'Yellow', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-SS', 'Rr-yy-SS']","['RR-yy-SS', 'Rr-yy-SS']","['Red', 'White']","['Red', 'White']","['50%', '50%']"
"['RR-yy-SS', 'Rr-yy-Ss']","['RR-yy-SS', 'RR-yy-Ss', 'Rr-yy-SS', 'Rr-yy-Ss']","['Red', 'Pink']","['Red', 'Red (seed)', 'White', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-SS', 'Rr-yy-ss']","['RR-yy-Ss', 'Rr-yy-Ss']","['Red', 'Red']","['Red (seed)', 'Pink']","['50%', '50%']"
"['RR-yy-SS', 'rr-YY-ss']",['Rr-Yy-Ss'],"['Red', 'Yellow (seed)']",['Yellow'],['100%']
"['RR-yy-SS', 'rr-Yy-Ss']","['Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-yy-SS', 'Rr-yy-Ss']","['Red', 'Yellow']","['Yellow', 'Yellow', 'White', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-SS', 'rr-Yy-ss']","['Rr-Yy-Ss', 'Rr-yy-Ss']","['Red', 'Yellow']","['Yellow', 'Pink']","['50%', '50%']"
"['RR-yy-SS', 'rr-yy-SS']",['Rr-yy-SS'],"['Red', 'White']",['White'],['100%']
